category,Event,Customer_IP,Event_Time,Product_ID,Quantity,Collection_Name,Search_Term,Time_On_Page,Product_Name,session,Customer_ID,Customer_Name
Engagement,Home,103.182.131.45,2025-01-24 07:21:33.927000+00:00,,,,,3.261,,1,,
Engagement,Home,103.182.131.45,2025-01-24 07:21:34.802000+00:00,,,,,1.912,,1,,
Engagement,Cart Add,103.182.131.45,2025-01-24 07:46:23.296000+00:00,8511485575422.0,1.0,,,,personalized handy b6 notebook diary and pen brown,1,,
Engagement,Product,103.182.131.45,2025-01-24 07:47:36.755000+00:00,8262125977854.0,,,,90.712,personalized handy b6 notebook diary and pen brown,1,,
Engagement,Cart,103.182.131.45,2025-01-24 07:48:21.440000+00:00,,,,,41.778,,1,,
Engagement,Product,103.182.131.45,2025-01-24 13:54:48.612000+00:00,8511430197502.0,,,,1298.048,personalized 5 in 1 gift set steel bottle notebook diary metal pen desk organiser and cardholder,2,,
Engagement,Product,103.182.131.45,2025-01-24 13:55:40.306000+00:00,8511430197502.0,,,,37.622,personalized 5 in 1 gift set steel bottle notebook diary metal pen desk organiser and cardholder,2,,
Engagement,Home,103.198.165.239,2025-01-26 14:10:01.230000+00:00,,,,,10.111,,1,,
Engagement,Collection,103.198.165.239,2025-01-26 14:13:07.073000+00:00,,,2-in-1-gift-sets,,5.722,,1,,
Engagement,Collection,103.198.165.239,2025-01-26 14:15:44.350000+00:00,,,2-in-1-gift-sets,,157.544,,1,,
Engagement,Collection,103.198.165.239,2025-01-26 14:16:55.549000+00:00,,,wedding-gifts,,14.261,,1,,
Engagement,Home,103.250.188.115,2025-01-24 12:33:31.951000+00:00,,,,,11.272,,1,,
Engagement,Cart Add,103.58.152.160,2025-01-27 03:49:50.152000+00:00,8511430197502.0,2.0,,,,"Personalized 5 in 1 Gift Set Steel Bottle, Notebook Diary, Metal Pen, Desk Organiser and Cardholder.",1,,
Engagement,Cart Remove,103.58.152.160,2025-01-27 03:49:50.152000+00:00,8511485575422.0,,,,,"4 in 1 Personalised Jute Gift Set Card holder , Diary, Metallic Pen and Keychain",1,,
Engagement,Home,103.58.152.160,2025-01-27 03:49:56.828000+00:00,,,,,12.721,,1,,
Engagement,Product,103.58.152.160,2025-01-27 03:50:33.223000+00:00,8511485575422.0,,,,32.463,4 in 1 personalised jute gift set card holder diary metallic pen and keychain,1,,
Engagement,Product,103.58.152.160,2025-01-27 06:55:29.041000+00:00,8511430197502.0,,,,212.51,personalized 5 in 1 gift set steel bottle notebook diary metal pen desk organiser and cardholder,2,,
Engagement,Cart,103.58.152.160,2025-01-27 06:56:35.326000+00:00,,,,,18.445,,2,,
Engagement,Cart,103.58.152.160,2025-01-27 06:56:35.594000+00:00,,,,,0.001,,2,,
Engagement,Cart,103.58.152.160,2025-01-27 09:07:46.008000+00:00,,,,,7935.271,,3,,
Engagement,Cart Add,103.58.152.160,2025-01-27 09:17:02.120000+00:00,8511430197502.0,2.0,,,,"Personalized 5 in 1 Gift Set Steel Bottle, Notebook Diary, Metal Pen, Desk Organiser and Cardholder.",3,,
Engagement,Home,103.58.152.160,2025-01-27 10:37:22.758000+00:00,,,,,4825.421,,4,,
Engagement,Home,103.79.168.31,2025-01-26 05:34:07.337000+00:00,,,,,9.323,,1,,
Engagement,Collection,106.222.228.156,2025-01-25 18:16:52.512000+00:00,,,drinkware-gifts,,14.435,,1,,
Engagement,Collection,106.51.188,2025-01-24 13:22:32.311000+00:00,,,gift-hampers,,15.56,,1,,
Engagement,Collection,106.51.188,2025-01-24 13:23:06.575000+00:00,,,gift-hampers,,34.264,,1,,
Engagement,Collection,106.51.188,2025-01-24 13:23:12.609000+00:00,,,gift-hampers,,6.034,,1,,
Engagement,Collection,106.51.188,2025-01-24 13:24:15.011000+00:00,,,personalized-gifts,,23.716,,1,,
Engagement,Collection,106.51.188,2025-01-24 13:24:34.159000+00:00,,,personalized-gifts,,19.148,,1,,
Engagement,Home,115.96.216.2,2025-01-27 07:06:16.362000+00:00,,,,,64.024,,1,,
