Product_ID,Product_Title,Product_Type,Product_Published_At,Product_Variant_Id,Variant_Price,Variant_Inventory_Quantity,Variant_Created_At,Product_Created_At,Body_Html,Variant_Title,Option_Names,Option_Values,Image_Ids,Image_Sources
8812954714365,Valentines Gift for Him,,2025-01-30T12:07:45Z,45997722108157,699.0,10,2025-01-30T11:57:29Z,2025-01-30T11:57:29Z,"<p class=""p1"">The ultimate gift for him this Valentines Day!</p>
<p class=""p1"">Pink Himalayan Cooking Salt Block Combo with Bag and Tray (20cm x 20cm x 5cm)</p>
<p class=""p1""><meta charset=""utf-8""><meta charset=""utf-8""><b id=""docs-internal-guid-7839e0f3-7fff-16af-d064-5cfaf68c18fa""><span>Make your man’s day this Valentines with this Cooking Salt Block Combo - his friends will be green with envy!</span></b></p>
<p class=""p1"">Using a pink Himalayan salt block is an innovative and flavourful way to braai meat. These blocks are naturally harvested from the Khewra Salt Mine in Pakistan and are prized for their mineral-rich composition, which imparts a unique taste to food.</p>
<p class=""p1"">When used for braaing, the salt block acts as both a cooking surface and a seasoning agent, subtly infusing the meat with a savoury saltiness while locking in moisture. To use, heat the block slowly over a braai until it reaches the desired temperature. Once heated, it retains heat evenly, ensuring a consistent cooking experience.</p>
<p class=""p1"">The salt block is versatile and can be used for searing steaks, grilling vegetables, or even as a serving platter, adding a touch of gourmet flair to any meal. It’s also naturally anti-microbial, making it easy to clean and maintain.</p>
<p class=""p1"">For best results, allow the block to cool gradually after use, and clean it with a damp cloth. Avoid using detergents, as they can seep into the block and affect the taste of future dishes. With proper care, a pink Himalayan salt block can last for many braais, enhancing the flavour and presentation of your culinary creations.</p>",Default Title,Title,Default Title,42388399522045,https://cdn.shopify.com/s/files/1/0081/6968/5089/files/pink-himalayan-cooking-salt-block-20cm-x-20cm-x-5cm-223882.jpg?v=1738238787
8812924895485,Xanthan Gum 80#,,,45997624852733,2590.0,0,2025-01-30T08:20:57Z,2025-01-30T08:20:57Z,<p>Xanthan Gum 80#</p>,Default Title,Title,Default Title,42388399522045,https://cdn.shopify.com/s/files/1/0081/6968/5089/files/pink-himalayan-cooking-salt-block-20cm-x-20cm-x-5cm-223882.jpg?v=1738238787
8812924862717,Xanthan Gum 200#,,,45997624819965,2590.0,0,2025-01-30T08:20:56Z,2025-01-30T08:20:56Z,<p>Xanthan Gum 200#</p>,Default Title,Title,Default Title,42388399522045,https://cdn.shopify.com/s/files/1/0081/6968/5089/files/pink-himalayan-cooking-salt-block-20cm-x-20cm-x-5cm-223882.jpg?v=1738238787
8812924829949,Whey Powder (Local),,,45997624787197,1950.0,0,2025-01-30T08:20:54Z,2025-01-30T08:20:54Z,<p>Whey Powder (Local)</p>,Default Title,Title,Default Title,42388399522045,https://cdn.shopify.com/s/files/1/0081/6968/5089/files/pink-himalayan-cooking-salt-block-20cm-x-20cm-x-5cm-223882.jpg?v=1738238787
8812924797181,Whey Powder (Import),,,45997624754429,1950.0,0,2025-01-30T08:20:53Z,2025-01-30T08:20:53Z,<p>Whey Powder (Import)</p>,Default Title,Title,Default Title,42388399522045,https://cdn.shopify.com/s/files/1/0081/6968/5089/files/pink-himalayan-cooking-salt-block-20cm-x-20cm-x-5cm-223882.jpg?v=1738238787
8812924764413,Wheat Gluten,,,45997624721661,1120.0,0,2025-01-30T08:20:52Z,2025-01-30T08:20:52Z,<p>Wheat Gluten</p>,Default Title,Title,Default Title,42388399522045,https://cdn.shopify.com/s/files/1/0081/6968/5089/files/pink-himalayan-cooking-salt-block-20cm-x-20cm-x-5cm-223882.jpg?v=1738238787
8812924731645,Sugar White Refined,,,45997624688893,670.0,0,2025-01-30T08:20:50Z,2025-01-30T08:20:50Z,<p>Sugar White Refined</p>,Default Title,Title,Default Title,42388399522045,https://cdn.shopify.com/s/files/1/0081/6968/5089/files/pink-himalayan-cooking-salt-block-20cm-x-20cm-x-5cm-223882.jpg?v=1738238787
8812924698877,Sugar White Icing,,,45997624656125,750.0,0,2025-01-30T08:20:49Z,2025-01-30T08:20:49Z,<p>Sugar White Icing</p>,Default Title,Title,Default Title,42388399522045,https://cdn.shopify.com/s/files/1/0081/6968/5089/files/pink-himalayan-cooking-salt-block-20cm-x-20cm-x-5cm-223882.jpg?v=1738238787
8812924666109,Sugar Castor,,,45997624623357,750.0,0,2025-01-30T08:20:48Z,2025-01-30T08:20:48Z,<p>Sugar Castor</p>,Default Title,Title,Default Title,42388399522045,https://cdn.shopify.com/s/files/1/0081/6968/5089/files/pink-himalayan-cooking-salt-block-20cm-x-20cm-x-5cm-223882.jpg?v=1738238787
8812924633341,Sugar Brown VHP,,,45997624590589,610.0,0,2025-01-30T08:20:46Z,2025-01-30T08:20:46Z,<p>Sugar Brown VHP</p>,Default Title,Title,Default Title,42388399522045,https://cdn.shopify.com/s/files/1/0081/6968/5089/files/pink-himalayan-cooking-salt-block-20cm-x-20cm-x-5cm-223882.jpg?v=1738238787
