category,Event,Customer_IP,Event_Time,Product_ID,Quantity,Collection_Name,Search_Term,Time_On_Page,Product_Name,session,Customer_ID,Customer_Name
Engagement,Product,103.10.226.244,2025-01-24 15:11:38.199000+00:00,9679595372857.0,,,,7.985,jumbo medjool stuffed dates assorted decadent box,1,,
Engagement,Product,103.124.153.80,2025-01-26 07:44:08.296000+00:00,9209854361913.0,,,,79.361,gourmet classic gift box of pistachio burma baklava,1,,
Engagement,Home,103.155.30.137,2025-01-24 15:13:14.514000+00:00,,,,,14.258,,1,,
Engagement,Home,103.211.18.247,2025-01-24 07:23:40.571000+00:00,,,,,46.613,,1,,
Engagement,Collection,103.211.18.247,2025-01-24 07:23:53.625000+00:00,,,gourmet-premium-stuffed-dates,,3.086,,1,,
Engagement,Home,106.220.124.142,2025-01-24 12:03:30.290000+00:00,,,,,27.999,,1,,
Engagement,Home,106.220.124.142,2025-01-24 12:08:49.083000+00:00,,,,,5.316,,1,,
Engagement,Collection,106.220.124.142,2025-01-24 12:09:02.892000+00:00,,,gourmet-luxury-gift-boxes,,6.736,,1,,
Engagement,Collection,106.220.124.142,2025-01-24 12:09:05.182000+00:00,,,gourmet-luxury-gift-boxes,,6.156,,1,,
Engagement,Collection,106.220.124.142,2025-01-24 12:09:15.398000+00:00,,,gourmet-luxury-gift-boxes,,10.215,,1,,
Engagement,Home,122.164.14.246,2025-01-24 10:57:09.380000+00:00,,,,,12.336,,1,,
Engagement,Collection,122.164.14.246,2025-01-24 10:57:49.005000+00:00,,,premium-baklava,,14.345,,1,,
Engagement,Collection,122.164.14.246,2025-01-24 10:58:04.991000+00:00,,,bestseller-turkish-delicacies,,14.131,,1,,
Engagement,Collection,122.164.14.246,2025-01-24 10:58:32.912000+00:00,,,loose-baklava,,25.731,,1,,
Engagement,Collection,122.164.15.161,2025-01-26 01:33:59.134000+00:00,,,gourmet-premium-stuffed-dates,,9.914,,1,,
Engagement,Home,122.164.15.161,2025-01-26 04:50:35.300000+00:00,,,,,706.337,,2,,
Engagement,Collection,122.164.15.161,2025-01-26 04:53:20.081000+00:00,,,gourmet-premium-stuffed-dates,,162.156,,2,,
Engagement,Collection,122.164.15.161,2025-01-26 04:53:54.879000+00:00,,,republic-day,,32.114,,2,,
Engagement,Product,122.166.203.94,2025-01-27 05:52:34.010000+00:00,8507520090425.0,,,,15.681,nutella nest,1,,
Engagement,Product,122.166.203.94,2025-01-27 05:52:47.468000+00:00,9209784893753.0,,,,11.906,gourmet classic gift box of hazelnut nest baklava,1,,
Engagement,Collection,122.179.232.222,2025-01-27 00:13:51.081000+00:00,,,gourmet-gifting,,23.993,,1,,
Engagement,Collection,122.179.232.222,2025-01-27 00:14:00.694000+00:00,,,gourmet-gifting,,9.925,,1,,
Engagement,Home,150.107.18.145,2025-01-25 09:36:58.850000+00:00,,,,,10.159,,1,,
Engagement,Product,164.100.214.48,2025-01-27 09:10:04.985000+00:00,9667816325433.0,,,,15.061,decadent gift box of assorted baklava,1,,
Engagement,Product,183.82.110.218,2025-01-24 07:24:34.535000+00:00,8514916614457.0,,,,13.768,cashew delight,1,,
Engagement,Product,183.82.110.218,2025-01-24 07:28:02.855000+00:00,8514916614457.0,,,,208.6,cashew delight,1,,
Engagement,Product,183.82.110.218,2025-01-24 07:28:15.291000+00:00,8514948497721.0,,,,4.231,orange delight,1,,
Engagement,Product,183.82.110.218,2025-01-24 07:28:21.091000+00:00,8514948497721.0,,,,6.026,orange delight,1,,
Engagement,Product,183.82.110.218,2025-01-24 07:28:28.967000+00:00,8514948497721.0,,,,7.692,orange delight,1,,
Engagement,Product,183.82.110.218,2025-01-24 07:32:43.614000+00:00,8514948497721.0,,,,254.774,orange delight,1,,
Engagement,Product,183.82.110.218,2025-01-24 07:33:06.643000+00:00,8514948497721.0,,,,17.683,orange delight,1,,
Engagement,Product,183.82.110.218,2025-01-24 07:33:08.184000+00:00,8514948497721.0,,,,6.951,orange delight,1,,
Engagement,Product,183.82.110.218,2025-01-24 07:35:42.409000+00:00,8514948497721.0,,,,154.196,orange delight,1,,
Engagement,Product,183.82.110.218,2025-01-24 07:39:19.263000+00:00,9209666666809.0,,,,213.584,gourmet younani bites baklava,1,,
Engagement,Product,183.82.110.218,2025-01-24 07:40:03.540000+00:00,8514941059385.0,,,,36.272,almond delight,1,,
Engagement,Product,183.82.110.218,2025-01-24 07:55:54.820000+00:00,9249010090297.0,,,,91.338,gourmet baklava fig delight 500 gms,1,,
Engagement,Collection,183.82.110.218,2025-01-24 07:56:40.721000+00:00,,,new-year,,0.548,,1,,
Engagement,Collection,183.82.110.218,2025-01-24 07:59:37.927000+00:00,,,new-year,,1.593,,1,,
Engagement,Collection,183.82.110.218,2025-01-24 08:00:19.573000+00:00,,,new-year,,1.525,,1,,
Engagement,Collection,183.82.110.218,2025-01-24 08:01:00.096000+00:00,,,new-year,,1.576,,1,,
Engagement,Collection,183.82.110.218,2025-01-24 08:01:40.503000+00:00,,,new-year,,1.356,,1,,
Engagement,Product,183.82.110.218,2025-01-24 08:02:03.021000+00:00,9244465692985.0,,,,81.787,gourmet baklava cashew baklava 500 gms,1,,
Engagement,Collection,183.82.110.218,2025-01-24 08:02:11.835000+00:00,,,new-year,,2.044,,1,,
Engagement,Collection,183.82.110.218,2025-01-24 08:02:51.194000+00:00,,,new-year,,1.481,,1,,
Engagement,Collection,183.82.110.218,2025-01-24 08:03:30.675000+00:00,,,new-year,,2.661,,1,,
Engagement,Collection,183.82.110.218,2025-01-24 08:04:02.239000+00:00,,,new-year,,2.143,,1,,
Engagement,Product,183.82.110.218,2025-01-24 08:04:51.849000+00:00,8507154334009.0,,,,5.208,christmas special gourmet lady finger baklava 250g,1,,
Engagement,Product,183.82.110.218,2025-01-24 08:04:52.471000+00:00,8507154334009.0,,,,0.924,christmas special gourmet lady finger baklava 250g,1,,
Engagement,Product,183.82.110.218,2025-01-24 08:05:11.067000+00:00,9577479471417.0,,,,6.626,gourmet belloria classic gift box,1,,
Engagement,Product,183.82.110.218,2025-01-24 08:06:20.439000+00:00,9577479471417.0,,,,69.599,gourmet belloria classic gift box,1,,
Engagement,Product,183.82.110.218,2025-01-24 08:06:31.148000+00:00,9512545157433.0,,,,1.183,gourmet pistachio belloria,1,,
Engagement,Product,183.82.110.218,2025-01-24 08:06:31.759000+00:00,9512545157433.0,,,,0.873,gourmet pistachio belloria,1,,
Engagement,Product,183.82.110.218,2025-01-24 08:07:37.417000+00:00,8887569547577.0,,,,74.064,assorted maamoul,1,,
Engagement,Product,183.82.110.218,2025-01-24 08:09:45.742000+00:00,9209784893753.0,,,,0.308,gourmet classic gift box of hazelnut nest baklava,1,,
Engagement,Collection,183.82.110.218,2025-01-24 08:11:16.086000+00:00,,,new-year,,0.896,,1,,
Engagement,Product,183.82.110.218,2025-01-24 10:40:39.815000+00:00,9209784893753.0,,,,9054.278,gourmet classic gift box of hazelnut nest baklava,2,,
Engagement,Product,183.82.110.218,2025-01-24 10:52:44.454000+00:00,9576286585145.0,,,,2.617,empress gourmet stuffed dates,2,,
Engagement,Product,183.82.110.218,2025-01-24 10:57:31.558000+00:00,9576286585145.0,,,,287.141,empress gourmet stuffed dates,2,,
Engagement,Product,183.82.110.218,2025-01-24 10:58:03.238000+00:00,8514941059385.0,,,,29.27,almond delight,2,,
Engagement,Product,183.82.110.218,2025-01-25 05:58:46.634000+00:00,9667802333497.0,,,,44.848,christmas special decadent chocolate dry fruit baklava,3,,
Engagement,Product,183.82.110.218,2025-01-25 06:00:07.625000+00:00,9244185526585.0,,,,56.121,gourmet baklava assorted baklava box 350 gms,3,,
Engagement,Product,183.82.110.218,2025-01-25 06:01:24.624000+00:00,9667802333497.0,,,,0.96,christmas special decadent chocolate dry fruit baklava,3,,
Engagement,Product,183.82.110.218,2025-01-25 06:01:40.990000+00:00,9667802333497.0,,,,18.439,christmas special decadent chocolate dry fruit baklava,3,,
Engagement,Product,183.82.110.218,2025-01-25 06:06:39.609000+00:00,9667802333497.0,,,,89.876,christmas special decadent chocolate dry fruit baklava,3,,
Engagement,Product,183.82.110.218,2025-01-25 06:07:15.841000+00:00,9667741024569.0,,,,12.762,sparkle box,3,,
Engagement,Product,183.82.110.218,2025-01-25 06:07:19.567000+00:00,9667741024569.0,,,,3.983,sparkle box,3,,
Engagement,Product,183.82.110.218,2025-01-25 06:11:48.826000+00:00,9667741024569.0,,,,269.249,sparkle box,3,,
Engagement,Product,183.82.110.218,2025-01-25 06:11:51.170000+00:00,9667741024569.0,,,,2.34,sparkle box,3,,
Engagement,Product,183.82.110.218,2025-01-25 06:22:38.463000+00:00,9667756523833.0,,,,8.666,double treat christmas box,3,,
Engagement,Product,183.82.110.218,2025-01-25 06:23:37.771000+00:00,9667756523833.0,,,,59.589,double treat christmas box,3,,
Engagement,Product,183.82.110.218,2025-01-25 06:31:10.808000+00:00,9667756523833.0,,,,453.018,double treat christmas box,3,,
Engagement,Product,183.82.110.218,2025-01-25 06:41:21.728000+00:00,9166648148281.0,,,,570.529,gourmet baklava pista nutella delight,3,,
Engagement,Product,183.82.110.218,2025-01-25 06:47:31.747000+00:00,9246308827449.0,,,,276.24,gourmet baklava pista delight 500 gms,3,,
Engagement,Product,183.82.110.218,2025-01-25 06:48:04.081000+00:00,8514916614457.0,,,,2.344,cashew delight,3,,
Engagement,Product,183.82.110.218,2025-01-25 06:50:51.738000+00:00,8514916614457.0,,,,167.951,cashew delight,3,,
Engagement,Product,183.82.110.218,2025-01-25 07:05:27.430000+00:00,8507520090425.0,,,,861.091,nutella nest,3,,
Engagement,Product,183.82.110.218,2025-01-25 07:08:18.828000+00:00,9166623572281.0,,,,158.416,gourmet baklava assorted delight box,3,,
Engagement,Product,183.82.110.218,2025-01-25 07:12:29.727000+00:00,8507175731513.0,,,,213.974,cashew baklva,3,,
Engagement,Product,183.82.110.218,2025-01-25 07:13:14.875000+00:00,8772755456313.0,,,,2.443,christmas special gourmet dry fruit nest baklava,3,,
Engagement,Product,183.82.110.218,2025-01-25 07:17:39.921000+00:00,8772755456313.0,,,,265.308,christmas special gourmet dry fruit nest baklava,3,,
Engagement,Product,183.82.110.218,2025-01-25 07:18:03.535000+00:00,8507189952825.0,,,,0.369,almond baklava,3,,
Engagement,Product,183.82.110.218,2025-01-25 07:34:59.853000+00:00,8507189952825.0,,,,1016.619,almond baklava,3,,
Engagement,Product,183.82.110.218,2025-01-25 07:47:35.821000+00:00,9209597821241.0,,,,0.17,gourmet classic gift box of walnut baklava,3,,
Engagement,Product,183.82.110.218,2025-01-25 07:50:13.279000+00:00,8507195916601.0,,,,0.184,almond nest,3,,
