category,Event,Customer_IP,Event_Time,Product_ID,Quantity,Collection_Name,Search_Term,Time_On_Page,Product_Name,session,Customer_ID,Customer_Name
Engagement,Cart,103.137.95.196,2025-01-25 04:54:40.128000+00:00,,,,,5.588,,1,,
Engagement,Cart,103.137.95.196,2025-01-25 05:03:43.288000+00:00,,,,,543.476,,1,,
Engagement,Home,103.162.199.21,2025-01-24 08:42:29.518000+00:00,,,,,13.018,,1,,
Engagement,Cart Add,103.162.199.21,2025-01-24 10:41:17.694000+00:00,14962006851965.0,1.0,,,,DIAMOND 77 BIO,2,,
Engagement,Home,103.162.199.21,2025-01-24 10:47:03.474000+00:00,,,,,130.603,,2,,
Engagement,Home,103.162.199.21,2025-01-24 10:52:18.478000+00:00,,,,,145.305,,2,,
Engagement,Home,103.162.199.21,2025-01-24 10:59:59.885000+00:00,,,,,189.322,,2,,
Engagement,Home,103.162.199.21,2025-01-24 11:00:11.060000+00:00,,,,,8.582,,2,,
Engagement,Home,103.162.199.21,2025-01-24 11:04:02.276000+00:00,,,,,81.695,,2,,
Engagement,Home,103.162.199.21,2025-01-24 11:12:19.305000+00:00,,,,,222.785,,2,,
Engagement,Home,103.162.199.21,2025-01-24 11:35:26.816000+00:00,,,,,1384.489,,2,,
Engagement,Home,103.162.199.21,2025-01-24 12:22:43.646000+00:00,,,,,2818.441,,2,,
Engagement,Home,122.178.152.246,2025-01-24 08:16:36.948000+00:00,,,,,13.552,,1,,
Engagement,Home,122.178.152.246,2025-01-24 08:21:32.161000+00:00,,,,,1925.342,,1,,
Engagement,Cart,122.178.152.246,2025-01-24 09:58:33.253000+00:00,,,,,81.325,,2,,
Engagement,Home,122.178.152.246,2025-01-24 11:47:11.410000+00:00,,,,,3.254,,3,,
Engagement,Collection,122.178.152.246,2025-01-24 11:54:30.960000+00:00,,,top-offers,,2.965,,3,,
Engagement,Home,125.63.67.42,2025-01-25 06:55:09.474000+00:00,,,,,2.262,,1,,
Engagement,Home,136.232.199.134,2025-01-27 06:22:32.978000+00:00,,,,,66.163,,1,,
Engagement,Home,43.241.146.43,2025-01-25 08:16:36.790000+00:00,,,,,26.622,,1,,
Engagement,Home,43.241.146.43,2025-01-25 08:16:39.740000+00:00,,,,,62.23,,1,,
Engagement,Product,49.43.240.132,2025-01-24 16:41:44.844000+00:00,14961888526717.0,,,,160.859,altius plus matt glass 490,1,,
Engagement,Cart,49.47.217.210,2025-01-24 07:36:38.268000+00:00,,,,,0.308,,1,,
Engagement,Cart,49.47.217.210,2025-01-24 07:37:05.713000+00:00,,,,,26.031,,1,,
Engagement,Cart,49.47.217.210,2025-01-24 07:37:53+00:00,,,,,44.811,,1,,
Engagement,Cart,49.47.217.210,2025-01-24 07:37:53.150000+00:00,,,,,0.507,,1,,
Engagement,Cart,49.47.217.210,2025-01-24 07:37:53.187000+00:00,,,,,0.037,,1,,
Engagement,Cart,49.47.217.210,2025-01-24 07:37:53.212000+00:00,,,,,0.024,,1,,
Engagement,Cart,49.47.217.210,2025-01-24 07:37:53.246000+00:00,,,,,0.035,,1,,
Engagement,Cart,49.47.217.210,2025-01-24 07:37:53.278000+00:00,,,,,0.032,,1,,
Engagement,Cart,49.47.217.210,2025-01-24 07:37:53.310000+00:00,,,,,0.032,,1,,
Engagement,Cart,49.47.217.210,2025-01-24 07:37:53.346000+00:00,,,,,0.036,,1,,
Engagement,Cart,49.47.217.210,2025-01-24 07:37:53.377000+00:00,,,,,0.031,,1,,
Engagement,Cart,49.47.217.210,2025-01-24 07:37:53.410000+00:00,,,,,0.033,,1,,
Engagement,Home,49.47.217.210,2025-01-24 07:43:39.708000+00:00,,,,,121.594,,1,,
Engagement,Cart Add,49.47.217.210,2025-01-24 08:11:06.298000+00:00,14961880498557.0,1.0,,,,VETRA ISOLA 90,1,,
