category,Event,Customer_IP,Event_Time,Product_ID,Quantity,Collection_Name,Search_Term,Time_On_Page,Product_Name,session,Customer_ID,Customer_Name
Engagement,Home,14.96.104.137,2025-01-24 11:42:16.975000+00:00,,,,,17.352,,1,,
Engagement,Home,14.96.104.137,2025-01-24 11:42:29.388000+00:00,,,,,11.514,,1,,
Engagement,Home,14.96.104.137,2025-01-24 11:47:26.982000+00:00,,,,,178.811,,1,,
Engagement,Home,14.96.104.137,2025-01-24 11:49:57.875000+00:00,,,,,12.139,,1,,
Engagement,Home,14.96.104.137,2025-01-24 11:53:49.072000+00:00,,,,,100.919,,1,,
Engagement,Home,14.96.104.137,2025-01-24 11:54:41.580000+00:00,,,,,43.368,,1,,
Engagement,Home,14.96.104.137,2025-01-24 11:57:55.981000+00:00,,,,,80.73,,1,,
Engagement,Home,14.96.104.137,2025-01-24 11:58:41.459000+00:00,,,,,42.832,,1,,
Engagement,Home,14.96.104.137,2025-01-24 12:00:39.446000+00:00,,,,,115.316,,1,,
Engagement,Home,14.96.104.137,2025-01-24 12:01:13.467000+00:00,,,,,31.573,,1,,
Engagement,Home,14.96.104.137,2025-01-24 12:04:47.799000+00:00,,,,,81.84,,1,,
Engagement,Home,14.96.104.137,2025-01-24 12:05:45.483000+00:00,,,,,55.102,,1,,
Engagement,Home,14.96.104.137,2025-01-24 12:06:27.616000+00:00,,,,,40.554,,1,,
Engagement,Home,14.96.104.137,2025-01-24 12:11:17.301000+00:00,,,,,83.732,,1,,
Engagement,Home,14.96.104.137,2025-01-24 12:12:42.959000+00:00,,,,,83.036,,1,,
Engagement,Home,14.96.104.137,2025-01-24 12:19:14.221000+00:00,,,,,81.854,,1,,
Engagement,Home,14.96.104.137,2025-01-24 12:23:23.046000+00:00,,,,,229.592,,1,,
Engagement,Home,14.96.104.137,2025-01-24 12:28:35.958000+00:00,,,,,166.211,,1,,
Engagement,Home,14.96.104.137,2025-01-24 12:30:31.761000+00:00,,,,,16.495,,1,,
Engagement,Home,14.96.104.137,2025-01-24 12:41:30.232000+00:00,,,,,40.376,,1,,
Engagement,Home,14.96.104.137,2025-01-24 12:55:14.888000+00:00,,,,,36.95,,1,,
Engagement,Home,14.96.104.137,2025-01-24 13:30:42.413000+00:00,,,,,2127.933,,1,,
Engagement,Home,14.96.104.137,2025-01-27 04:37:30.597000+00:00,,,,,347.872,,2,,
Engagement,Home,14.96.104.137,2025-01-27 04:38:22.555000+00:00,,,,,50.307,,2,,
Engagement,Home,14.96.104.137,2025-01-27 06:06:17.470000+00:00,,,,,1780.222,,3,,
Engagement,Home,14.96.104.137,2025-01-27 06:06:17.597000+00:00,,,,,0.484,,3,,
Engagement,Home,14.96.104.137,2025-01-27 06:06:17.627000+00:00,,,,,0.03,,3,,
Engagement,Home,14.96.104.137,2025-01-27 06:06:17.659000+00:00,,,,,0.032,,3,,
Engagement,Home,14.96.104.137,2025-01-27 06:06:29.673000+00:00,,,,,9.632,,3,,
Engagement,Home,14.96.104.137,2025-01-27 06:13:55.819000+00:00,,,,,13.372,,3,,
Engagement,Home,14.96.104.137,2025-01-27 06:17:46.792000+00:00,,,,,120.995,,3,,
Engagement,Home,14.96.104.137,2025-01-27 06:20:18.716000+00:00,,,,,7.355,,3,,
Engagement,Home,14.96.104.137,2025-01-27 06:27:25.408000+00:00,,,,,267.941,,3,,
Engagement,Home,14.96.104.137,2025-01-27 06:28:43.725000+00:00,,,,,75.811,,3,,
Engagement,Home,14.96.104.137,2025-01-27 06:30:19.349000+00:00,,,,,93.404,,3,,
Engagement,Home,14.96.104.137,2025-01-27 06:31:56.941000+00:00,,,,,95.309,,3,,
Engagement,Home,14.96.104.137,2025-01-27 06:32:40.389000+00:00,,,,,14.311,,3,,
Engagement,Home,14.96.104.137,2025-01-27 06:33:48.758000+00:00,,,,,67.262,,3,,
Engagement,Home,14.96.104.137,2025-01-27 06:34:29.855000+00:00,,,,,39.34,,3,,
Engagement,Home,14.96.104.137,2025-01-27 06:35:06.072000+00:00,,,,,34.346,,3,,
Engagement,Home,14.96.104.137,2025-01-27 06:35:32.803000+00:00,,,,,24.753,,3,,
Engagement,Home,14.96.104.137,2025-01-27 06:37:10.337000+00:00,,,,,95.641,,3,,
Engagement,Home,14.96.104.137,2025-01-27 06:38:38.919000+00:00,,,,,86.492,,3,,
